Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples
TRIM9	4	0	0	0	31	2	0	0	0	37	30	30
TUBA4A	1	0	1	0	34	1	0	0	0	37	30	30
ULK1	3	1	0	0	30	1	0	2	0	37	30	30
UNC5C	3	1	0	0	32	1	0	0	0	37	30	30
XIAP	1	0	0	0	35	1	0	0	0	37	30	30
ZNF148	0	1	0	0	36	0	0	0	0	37	30	30
ZNF383	0	0	0	0	34	3	0	0	0	37	30	30
ZNF7	1	1	0	0	35	0	0	0	0	37	30	30
ZNRF3	2	0	0	1	29	5	0	0	0	37	30	30
CHRNB4	0	0	0	0	36	0	0	0	0	36	30	30
CHST15	1	0	0	0	31	3	0	1	0	36	30	30
DDX20	1	0	0	0	31	2	0	2	0	36	30	30
ESYT3	0	0	0	0	28	3	0	5	0	36	30	30
EVC	1	0	0	0	33	2	0	0	0	36	30	30
FBXL5	1	0	0	0	29	3	0	3	0	36	30	30
FIGNL1	4	1	0	0	30	1	0	0	0	36	30	30
FOXO1	0	0	0	0	35	0	0	1	0	36	30	30
GRIK4	4	0	0	0	31	0	0	1	0	36	30	30
KCTD16	1	0	0	0	28	7	0	0	0	36	30	30
KCTD19	0	0	0	0	31	5	0	0	0	36	30	30
KDM2A	0	0	0	0	35	1	0	0	0	36	30	30
MAN2C1	2	0	0	0	32	0	0	2	0	36	30	30
MASP2	1	0	0	0	33	1	0	1	0	36	30	30
NVL	4	1	0	0	27	2	0	2	0	36	30	30
PHC2	1	0	0	0	32	2	0	1	0	36	30	30
PICALM	0	2	0	0	30	3	0	1	0	36	30	30
PLEKHG6	1	0	0	0	29	5	0	1	0	36	30	30
PRKRIR	1	0	0	0	29	6	0	0	0	36	30	30
RUNDC3B	0	0	0	0	27	8	0	1	0	36	30	30
SESN3	0	0	0	0	32	3	0	1	0	36	30	30
SLC22A9	0	0	0	0	34	1	0	1	0	36	30	30
SPRED1	5	1	0	0	26	3	1	0	0	36	30	30
ZNF512	1	0	0	0	32	3	0	0	0	36	30	30
ANKRD13C	2	0	0	0	27	6	0	0	0	35	30	30
APEX2	0	0	0	0	32	1	0	2	0	35	30	30
BTNL8	4	1	0	0	29	1	0	0	0	35	30	30
CSF2RA	1	0	0	0	30	4	0	0	0	35	30	30
F13A1	3	2	0	0	28	2	0	0	0	35	30	30
GAPDHS	0	0	0	0	34	0	0	1	0	35	30	30
GPKOW	0	0	0	0	33	1	0	1	0	35	30	30
HTR5A	0	0	0	0	34	1	0	0	0	35	30	30
KIF9	2	0	0	0	32	0	0	1	0	35	30	30
MAP3K12	3	2	0	0	26	3	0	1	0	35	30	30
MYO19	1	0	0	0	30	4	0	0	0	35	30	30
NR4A3	0	1	0	0	32	1	0	1	0	35	30	30
NUMB	0	0	1	0	32	1	0	0	1	35	30	30
PARP9	0	1	0	0	31	3	0	0	0	35	30	30
PCSK7	1	1	0	0	30	1	0	2	0	35	30	30
PDK3	0	0	0	0	24	9	0	2	0	35	30	30
PKN1	2	0	0	0	32	0	0	1	0	35	30	30
PRAMEF20	0	0	0	0	33	2	0	0	0	35	30	30
STOX1	1	0	0	0	32	2	0	0	0	35	30	30
TRIM23	1	0	0	0	29	4	0	1	0	35	30	30
XRCC5	2	0	0	0	28	3	0	2	0	35	30	30
ZBTB24	4	1	0	0	27	3	0	0	0	35	30	30
ZNF202	2	0	0	0	28	5	0	0	0	35	30	30
ABCG8	0	1	0	0	30	2	0	1	0	34	30	30
ATP6V1H	0	2	0	0	28	1	0	3	0	34	30	30
CLSTN2	1	1	0	0	29	1	0	2	0	34	30	30
GRID2IP	0	1	0	0	31	0	0	2	0	34	30	30
LRRC43	2	2	0	0	28	1	0	1	0	34	30	30
MTA1	3	3	0	0	28	0	0	0	0	34	30	30
NEDD1	2	1	0	0	28	3	0	0	0	34	30	30
PALB2	3	0	0	0	30	1	0	0	0	34	30	30
PDZD4	3	0	0	0	30	1	0	0	0	34	30	30
PRPF39	0	0	0	0	26	7	0	1	0	34	30	30
RHPN2	0	0	0	0	29	2	0	3	0	34	30	30
SLC16A2	1	1	0	0	30	2	0	0	0	34	30	30
SLC17A4	0	0	0	0	29	4	0	1	0	34	30	30
FBXO24	3	1	0	0	25	2	0	2	0	33	30	30
GC	3	0	0	0	26	3	0	1	0	33	30	30
GXYLT1	4	1	0	0	26	2	0	0	0	33	30	30
INPP5D	3	0	0	0	28	2	0	0	0	33	30	30
PRKCQ	0	0	0	0	32	0	0	0	1	33	30	30
SCLT1	6	2	0	0	18	6	0	1	0	33	30	30
SLCO4A1	2	0	0	0	31	0	0	0	0	33	30	30
UNC45A	3	1	0	0	26	3	0	0	0	33	30	30
ZMYND15	1	2	0	0	26	4	0	0	0	33	30	30
BRD3	3	0	0	0	27	2	0	0	0	32	30	30
TEX13A	2	0	0	0	26	4	0	0	0	32	30	30
DPYSL5	0	1	0	0	26	3	0	1	0	31	30	30
ELAC2	0	0	0	0	28	3	0	0	0	31	30	30
SLC22A1	0	1	0	0	29	1	0	0	0	31	30	30
PHACTR2	6	1	0	0	20	2	0	1	0	30	30	30
FBXO43	2	0	0	0	44	6	0	1	0	53	29	29
ZNF675	1	0	0	0	46	4	0	1	0	52	29	29
KDM4C	1	1	0	0	43	4	0	0	0	49	29	29
SLC26A3	2	1	0	0	43	3	0	0	0	49	29	29
ZNF23	2	0	0	0	46	1	0	0	0	49	29	29
ZFP28	0	1	0	0	41	5	0	1	0	48	29	29
ZNF480	0	0	0	0	43	4	0	1	0	48	29	29
CHTF18	3	0	0	0	44	0	0	0	0	47	29	29
GBP7	0	3	0	0	36	7	0	1	0	47	29	29
ORC1	0	1	0	0	42	3	0	1	0	47	29	29
POTEH	0	0	0	0	43	3	0	1	0	47	29	29
RPGR	0	0	0	0	40	7	0	0	0	47	29	29
SLCO1B1	3	3	0	0	41	0	0	0	0	47	29	29
ABCD1	0	0	0	0	42	2	0	2	0	46	29	29
C12orf4	1	1	0	0	36	7	0	1	0	46	29	29
MTMR7	0	0	0	0	35	7	0	4	0	46	29	29
TMPO	1	1	0	0	41	3	0	0	0	46	29	29
ZNF678	0	1	0	0	41	3	0	1	0	46	29	29
ANKFY1	1	0	0	0	41	2	0	1	0	45	29	29
C17orf85	0	0	0	0	39	6	0	0	0	45	29	29
MCF2L	0	0	0	0	45	0	0	0	0	45	29	29
ARMC3	0	2	0	0	32	9	0	1	0	44	29	29
CCDC67	0	2	0	0	28	12	0	2	0	44	29	29
GNPAT	0	0	0	0	43	1	0	0	0	44	29	29
ZNF37A	0	0	0	0	39	4	0	1	0	44	29	29
C6orf165	3	1	0	0	35	4	0	0	0	43	29	29
PARP8	1	2	0	0	33	6	0	1	0	43	29	29
PRDM4	0	1	0	0	37	4	0	1	0	43	29	29
RHOBTB2	4	0	1	0	38	0	0	0	0	43	29	29
ROR2	1	1	0	0	41	0	0	0	0	43	29	29
USP8	2	0	0	0	37	4	0	0	0	43	29	29
ZNF492	1	1	0	0	36	5	0	0	0	43	29	29
C1S	3	0	0	0	37	1	0	1	0	42	29	29
CFAP52	0	0	0	0	36	4	0	2	0	42	29	29
EFTUD2	0	0	0	0	40	1	0	1	0	42	29	29
GNL2	1	0	0	0	36	2	0	3	0	42	29	29
ITGA6	0	0	0	0	37	3	0	2	0	42	29	29
ITIH1	0	0	0	0	41	1	0	0	0	42	29	29
KCND1	0	0	0	0	42	0	0	0	0	42	29	29
KIF3C	3	0	0	0	38	1	0	0	0	42	29	29
MAP4K3	0	1	0	0	35	6	0	0	0	42	29	29
MORC3	1	1	0	0	35	4	0	1	0	42	29	29
PDE5A	0	0	0	0	40	2	0	0	0	42	29	29
PRDM15	3	0	0	0	34	4	0	1	0	42	29	29
PTK7	0	1	0	0	40	1	0	0	0	42	29	29
RADIL	2	0	0	1	37	2	0	0	0	42	29	29
RRBP1	0	0	1	0	37	3	0	1	0	42	29	29
SIPA1L3	1	1	0	0	38	2	0	0	0	42	29	29
SMPD4	0	0	0	0	40	1	0	1	0	42	29	29
TUBA3C	1	0	0	0	39	2	0	0	0	42	29	29
ZFX	0	0	0	0	42	0	0	0	0	42	29	29
ZNF583	0	0	0	0	38	3	0	1	0	42	29	29
ACSL5	2	1	0	0	33	2	0	3	0	41	29	29
BUB1	0	0	0	0	37	4	0	0	0	41	29	29
CEP104	1	1	0	0	35	3	0	1	0	41	29	29
ENOX2	0	0	0	0	33	8	0	0	0	41	29	29
HYAL4	0	0	0	0	34	7	0	0	0	41	29	29
MTHFD1L	0	1	0	0	37	3	0	0	0	41	29	29
NTRK1	0	0	0	0	37	0	0	4	0	41	29	29
PROSER1	2	0	0	0	38	1	0	0	0	41	29	29
SLC24A1	2	1	0	0	37	1	0	0	0	41	29	29
SRGAP3	1	0	0	0	36	3	0	1	0	41	29	29
URI1	1	0	1	0	35	2	0	2	0	41	29	29
VAV3	1	1	0	0	33	5	0	1	0	41	29	29
ZNF852	1	1	0	0	35	4	0	0	0	41	29	29
ADRBK2	0	2	0	0	31	5	0	2	0	40	29	29
ALAS2	1	1	0	0	38	0	0	0	0	40	29	29
DLGAP4	1	1	0	0	33	5	0	0	0	40	29	29
DRD5	0	0	0	0	40	0	0	0	0	40	29	29
EPB41L1	0	0	1	0	35	3	0	1	0	40	29	29
GABRA1	0	1	0	0	29	8	0	2	0	40	29	29
GLB1L3	0	0	0	0	36	0	0	4	0	40	29	29
GSAP	2	0	0	0	32	3	0	3	0	40	29	29
HK3	0	1	0	0	34	4	0	0	1	40	29	29
ITIH3	1	0	0	0	37	1	0	1	0	40	29	29
LPPR4	1	0	0	0	33	6	0	0	0	40	29	29
MAP10	1	1	0	0	34	3	1	0	0	40	29	29
MEI1	1	0	0	0	33	5	0	1	0	40	29	29
NOC3L	1	0	0	0	33	3	0	3	0	40	29	29
PIK3CD	0	0	0	0	38	0	0	1	1	40	29	29
PKP1	0	0	0	0	36	1	0	3	0	40	29	29
RALGDS	0	0	0	0	39	1	0	0	0	40	29	29
REPS1	0	0	0	0	32	6	0	2	0	40	29	29
SCUBE3	2	0	0	0	36	1	0	1	0	40	29	29
SERPINI2	1	0	0	0	34	2	0	3	0	40	29	29
SGK223	0	0	0	0	39	0	0	1	0	40	29	29
STAT4	0	0	0	0	33	6	0	1	0	40	29	29
TBC1D15	1	0	0	0	35	2	0	2	0	40	29	29
TSHZ2	2	2	0	0	35	1	0	0	0	40	29	29
WBP11	2	0	0	0	35	2	0	1	0	40	29	29
ZNF12	2	0	1	0	34	3	0	0	0	40	29	29
ZNF667	1	0	0	0	36	3	0	0	0	40	29	29
ZNF800	3	2	0	0	28	5	0	2	0	40	29	29
ZNF92	1	1	0	0	35	3	0	0	0	40	29	29
ABLIM1	0	0	0	0	36	2	0	1	0	39	29	29
APBA1	3	0	0	0	36	0	0	0	0	39	29	29
BRSK1	9	2	0	0	26	2	0	0	0	39	29	29
CCP110	0	1	0	0	32	4	0	2	0	39	29	29
CPNE8	0	1	0	0	35	1	0	2	0	39	29	29
EXOC2	1	1	0	0	32	4	0	1	0	39	29	29
FAN1	0	1	0	0	37	1	0	0	0	39	29	29
GPC6	1	1	0	0	34	2	0	1	0	39	29	29
HID1	0	1	0	0	37	1	0	0	0	39	29	29
KLB	2	1	0	0	34	2	0	0	0	39	29	29
LNX1	0	0	0	0	33	5	0	1	0	39	29	29
RABGAP1L	0	0	0	0	33	6	0	0	0	39	29	29
SCUBE1	1	0	0	0	36	1	0	1	0	39	29	29
SKIDA1	0	0	0	0	38	1	0	0	0	39	29	29
SLC14A2	1	0	0	0	38	0	0	0	0	39	29	29
TGM4	0	0	0	0	34	4	0	1	0	39	29	29
ZNF473	1	1	0	0	36	1	0	0	0	39	29	29
ACSL6	0	0	0	0	34	3	0	1	0	38	29	29
ADGRG7	0	0	0	0	36	2	0	0	0	38	29	29
AGGF1	3	0	0	0	27	7	0	1	0	38	29	29
ATP6V0A2	2	0	0	0	30	5	0	1	0	38	29	29
CATSPERD	1	1	0	0	33	2	0	1	0	38	29	29
ERICH6	0	1	0	0	33	3	0	1	0	38	29	29
ERMP1	1	1	0	0	34	0	0	2	0	38	29	29
GBE1	3	0	0	0	32	3	0	0	0	38	29	29
HTR3A	0	0	0	0	37	1	0	0	0	38	29	29
LENG8	0	1	0	0	36	1	0	0	0	38	29	29
LLGL1	0	0	0	0	36	1	0	1	0	38	29	29
MTMR12	0	1	0	0	33	3	0	1	0	38	29	29
NEK9	2	0	0	0	25	7	0	4	0	38	29	29
NPR1	0	1	0	0	34	3	0	0	0	38	29	29
POLI	0	0	0	0	31	6	0	1	0	38	29	29
POLRMT	1	1	0	0	36	0	0	0	0	38	29	29
PRKG1	0	0	0	0	34	3	0	1	0	38	29	29
RASGRP3	0	2	0	0	31	3	0	2	0	38	29	29
SF3B3	0	0	0	0	35	2	0	1	0	38	29	29
SIDT2	0	0	0	0	36	2	0	0	0	38	29	29
SLC45A4	0	0	0	0	37	1	0	0	0	38	29	29
SSC5D	2	3	0	0	32	1	0	0	0	38	29	29
TOP1	1	0	0	0	30	5	0	2	0	38	29	29
TRPC4AP	1	0	0	0	30	4	0	3	0	38	29	29
UBE2O	1	4	0	0	32	1	0	0	0	38	29	29
VPS41	1	2	0	0	31	2	0	2	0	38	29	29
ZNF195	0	0	0	0	36	2	0	0	0	38	29	29
ZNF443	0	1	0	0	35	1	0	1	0	38	29	29
ZNF610	0	0	0	0	36	2	0	0	0	38	29	29
ADAMTS7	1	0	0	0	30	2	0	4	0	37	29	29
ADAMTSL2	2	1	1	0	31	1	0	1	0	37	29	29
ARHGAP12	0	1	0	0	25	9	0	1	1	37	29	29
BBS2	0	0	0	0	33	4	0	0	0	37	29	29
C8orf34	0	1	0	0	34	1	0	1	0	37	29	29
CDH13	1	0	0	0	33	2	0	1	0	37	29	29
CDHR1	2	1	0	0	31	1	0	2	0	37	29	29
CSGALNACT1	1	0	0	0	29	6	0	1	0	37	29	29
DET1	0	1	0	0	36	0	0	0	0	37	29	29
FAM120A	0	1	0	0	34	2	0	0	0	37	29	29
GIGYF1	4	0	0	0	32	1	0	0	0	37	29	29
HGS	1	1	1	0	31	1	0	2	0	37	29	29
IL12RB1	1	0	0	0	32	3	0	1	0	37	29	29
IQSEC1	1	0	0	0	33	2	0	1	0	37	29	29
KCNS3	0	1	0	0	36	0	0	0	0	37	29	29
MGAT4C	3	1	0	0	30	3	0	0	0	37	29	29
NPAS2	0	1	0	0	31	3	0	2	0	37	29	29
PRKAA1	0	0	0	0	29	7	0	1	0	37	29	29
PRPF6	0	0	0	0	34	1	0	2	0	37	29	29
SEL1L	1	1	0	0	28	7	0	0	0	37	29	29
SLC46A3	4	2	0	0	27	4	0	0	0	37	29	29
SRRM5	1	0	0	0	35	1	0	0	0	37	29	29
TAP1	1	0	0	0	26	6	0	4	0	37	29	29
TRPV2	1	1	0	0	34	1	0	0	0	37	29	29
USP38	3	2	0	0	29	3	0	0	0	37	29	29
ZBTB1	5	2	0	0	23	7	0	0	0	37	29	29
ABCG1	1	0	0	0	34	1	0	0	0	36	29	29
ACOT12	1	0	0	0	27	8	0	0	0	36	29	29
ACSL3	2	1	0	0	30	1	0	2	0	36	29	29
AHRR	0	1	0	0	33	2	0	0	0	36	29	29
ALOX12B	1	2	0	0	33	0	0	0	0	36	29	29
ASIC4	0	0	0	0	34	0	0	2	0	36	29	29
AVIL	1	0	0	0	34	0	0	1	0	36	29	29
COPB2	0	0	0	0	32	3	0	1	0	36	29	29
DVL2	2	0	0	0	33	1	0	0	0	36	29	29
ENOX1	0	0	0	0	34	2	0	0	0	36	29	29
EPB41L4B	0	0	0	0	30	4	0	2	0	36	29	29
GLB1L2	2	0	0	0	29	0	0	5	0	36	29	29
GOLIM4	4	2	0	0	22	8	0	0	0	36	29	29
GPR174	0	0	0	0	34	2	0	0	0	36	29	29
KIAA1468	3	0	0	0	21	11	0	1	0	36	29	29
LRRC36	3	0	0	0	28	4	0	1	0	36	29	29
MPHOSPH8	1	1	0	0	31	3	0	0	0	36	29	29
NDST2	4	0	0	0	30	2	0	0	0	36	29	29
NFX1	1	0	0	0	33	0	0	2	0	36	29	29
POM121	1	0	0	0	32	0	0	3	0	36	29	29
PROM1	1	0	0	0	34	1	0	0	0	36	29	29
SLC44A4	3	0	0	0	27	3	0	3	0	36	29	29
SLC9A4	5	3	0	0	28	0	0	0	0	36	29	29
SRCIN1	3	0	0	0	31	1	0	1	0	36	29	29
TEKT3	0	0	0	0	31	3	0	2	0	36	29	29
UGT2B15	0	0	0	0	30	6	0	0	0	36	29	29
ZBTB39	3	0	0	0	31	2	0	0	0	36	29	29
ZNF226	0	2	0	0	28	6	0	0	0	36	29	29
ZNF549	1	0	0	0	33	2	0	0	0	36	29	29
ZNF718	1	1	0	0	34	0	0	0	0	36	29	29
ABL1	2	0	0	0	30	2	0	1	0	35	29	29
ANKK1	2	0	1	0	31	1	0	0	0	35	29	29
ANKRD20A4	3	1	0	0	25	5	0	1	0	35	29	29
AP2A1	1	0	0	0	33	0	0	1	0	35	29	29
CLIP4	1	0	0	0	31	2	0	1	0	35	29	29
CNTN2	3	2	0	0	28	1	0	1	0	35	29	29
COG1	1	0	1	0	31	2	0	0	0	35	29	29
CTIF	4	0	0	0	28	3	0	0	0	35	29	29
DIS3	0	0	0	0	32	2	0	1	0	35	29	29
DNAI2	1	0	0	0	33	1	0	0	0	35	29	29
FAM160A1	2	0	0	0	29	4	0	0	0	35	29	29
IGHMBP2	0	1	0	0	28	6	0	0	0	35	29	29
IL12RB2	1	0	0	0	32	2	0	0	0	35	29	29
KCNS2	0	0	0	0	33	2	0	0	0	35	29	29
KIAA0355	1	0	0	0	29	4	0	1	0	35	29	29
KPRP	0	3	0	0	32	0	0	0	0	35	29	29
MCCC1	1	0	0	0	30	4	0	0	0	35	29	29
MCM2	0	0	0	0	33	2	0	0	0	35	29	29
NPY5R	0	0	0	0	34	1	0	0	0	35	29	29
PAPD4	1	0	0	0	29	4	0	1	0	35	29	29
PLCD4	0	0	0	0	30	5	0	0	0	35	29	29
PPAN-P2RY11	0	0	0	0	32	2	0	1	0	35	29	29
PPP2R2B	1	1	0	0	30	2	0	1	0	35	29	29
UBAP2	2	2	0	0	25	6	0	0	0	35	29	29
UBASH3B	1	0	0	0	31	2	0	1	0	35	29	29
USP6NL	1	1	0	0	30	3	0	0	0	35	29	29
ZCCHC7	2	0	0	0	31	2	0	0	0	35	29	29
ZNF33B	1	0	0	0	31	3	0	0	0	35	29	29
ZNF557	1	0	0	0	30	4	0	0	0	35	29	29
ZNF599	0	1	0	0	31	2	1	0	0	35	29	29
AKAP7	10	1	0	0	15	7	0	1	0	34	29	29
ANO6	0	0	0	0	29	3	0	2	0	34	29	29
C1orf94	0	2	0	0	30	2	0	0	0	34	29	29
CATSPER2	0	0	0	0	31	2	0	1	0	34	29	29
CHAF1A	2	1	0	0	31	0	0	0	0	34	29	29
DCAF5	0	0	0	0	29	5	0	0	0	34	29	29
GFPT1	0	0	0	0	27	3	1	3	0	34	29	29
GNL3L	0	0	0	0	33	0	0	1	0	34	29	29
HABP2	0	0	0	0	32	1	0	1	0	34	29	29
INTS4	0	2	0	0	31	1	0	0	0	34	29	29
KLHL38	2	0	0	0	32	0	0	0	0	34	29	29
LARS2	2	0	0	0	30	1	0	1	0	34	29	29
LCTL	0	0	0	0	30	3	0	1	0	34	29	29
LONP1	2	0	0	0	31	0	0	1	0	34	29	29
MAP3K10	2	0	0	0	30	1	0	1	0	34	29	29
PADI6	3	0	0	0	27	2	0	2	0	34	29	29
PIBF1	2	1	0	0	20	11	0	0	0	34	29	29
PNN	0	0	0	0	32	2	0	0	0	34	29	29
RFX2	2	0	0	0	30	1	0	1	0	34	29	29
SYNCRIP	2	2	0	0	27	2	0	1	0	34	29	29
TSSK1B	4	0	0	0	29	1	0	0	0	34	29	29
ZNF221	0	0	0	0	27	6	0	1	0	34	29	29
ZNF365	4	0	0	0	27	3	0	0	0	34	29	29
AK7	1	0	0	0	27	4	0	1	0	33	29	29
BTN3A1	0	0	1	0	26	3	0	3	0	33	29	29
CILP2	1	1	0	0	28	2	0	1	0	33	29	29
E2F1	6	1	0	0	21	4	0	1	0	33	29	29
EPHB3	1	0	0	0	31	0	0	1	0	33	29	29
EPS8L1	0	1	0	0	28	4	0	0	0	33	29	29
EXOSC10	3	1	0	0	24	5	0	0	0	33	29	29
EXTL3	0	0	0	0	32	0	0	1	0	33	29	29
FOXP4	7	0	0	0	24	1	0	1	0	33	29	29
KNG1	0	0	0	0	28	5	0	0	0	33	29	29
MAGEB3	1	1	0	0	29	2	0	0	0	33	29	29
NXF3	0	1	0	0	28	2	0	2	0	33	29	29
PRDM1	1	0	0	0	31	1	0	0	0	33	29	29
PSMC4	1	2	0	0	27	0	0	3	0	33	29	29
RBM12	1	1	0	0	27	4	0	0	0	33	29	29
SLC22A25	0	0	0	0	30	3	0	0	0	33	29	29
TFDP2	4	0	0	0	29	0	0	0	0	33	29	29
UGT2A1	0	0	0	0	28	4	0	1	0	33	29	29
ZNF483	2	0	0	0	28	3	0	0	0	33	29	29
ZP1	2	0	0	0	26	5	0	0	0	33	29	29
ADRA2A	1	0	0	0	31	0	0	0	0	32	29	29
AXIN2	2	0	0	0	27	3	0	0	0	32	29	29
CCDC125	1	0	0	0	24	7	0	0	0	32	29	29
GAS6	3	1	0	0	27	1	0	0	0	32	29	29
GNAZ	6	3	0	0	21	2	0	0	0	32	29	29
ISLR2	1	0	0	0	31	0	0	0	0	32	29	29
MDH1B	0	2	0	0	28	2	0	0	0	32	29	29
TMEM161B	3	0	0	0	26	3	0	0	0	32	29	29
VAV2	0	0	0	0	30	2	0	0	0	32	29	29
WAS	1	1	0	0	25	3	0	2	0	32	29	29
BCL6B	1	0	0	0	28	1	0	1	0	31	29	29
ECE2	1	0	0	0	27	2	0	1	0	31	29	29
IGHM	2	0	0	0	27	1	0	1	0	31	29	29
OR2M3	0	0	0	0	31	0	0	0	0	31	29	29
SLC17A1	0	2	0	0	18	4	0	7	0	31	29	29
TRPM5	2	0	0	0	26	3	0	0	0	31	29	29
FNBP4	0	2	0	0	22	6	0	0	0	30	29	29
SCFD1	0	0	0	0	21	5	0	4	0	30	29	29
ZBTB7B	3	0	1	0	22	3	0	1	0	30	29	29
ZSCAN10	1	0	0	0	28	1	0	0	0	30	29	29
ZNF254	0	0	0	0	48	1	0	0	0	49	28	28
TAF2	0	0	0	0	43	3	0	2	0	48	28	28
ZNF136	1	0	0	0	34	13	0	0	0	48	28	28
MED1	4	1	0	0	40	2	0	0	0	47	28	28
PAK7	0	1	0	0	44	1	0	1	0	47	28	28
CPNE4	0	0	0	0	40	3	0	3	0	46	28	28
KIF18A	0	0	0	0	43	1	0	2	0	46	28	28
RAD21L1	0	0	0	0	40	5	0	1	0	46	28	28
CLIP2	0	1	0	0	42	1	0	1	0	45	28	28
INTS7	0	0	0	0	35	9	0	0	0	44	28	28
SMARCC1	1	1	0	0	32	8	0	2	0	44	28	28
MORC2	1	1	0	0	39	2	0	0	0	43	28	28
RP11-468E2.1	1	0	0	0	40	2	0	0	0	43	28	28
SCYL2	1	0	0	0	34	6	0	2	0	43	28	28
ZNF189	0	0	0	0	41	2	0	0	0	43	28	28
ZNF433	0	0	0	0	37	6	0	0	0	43	28	28
ZNF611	1	1	0	0	35	4	1	1	0	43	28	28
ACLY	1	0	0	0	36	4	0	1	0	42	28	28
CNOT4	0	0	0	0	39	3	0	0	0	42	28	28
CRAMP1L	0	1	0	0	36	3	0	2	0	42	28	28
EHMT2	3	0	0	0	35	3	0	1	0	42	28	28
FAM71A	3	1	0	0	36	2	0	0	0	42	28	28
GRK4	5	3	0	0	28	5	0	1	0	42	28	28
PFKM	0	1	0	0	38	3	0	0	0	42	28	28
POTEC	1	1	0	0	38	1	0	1	0	42	28	28
SEC63	2	0	0	0	33	4	0	3	0	42	28	28
SETDB2	4	1	0	0	32	5	0	0	0	42	28	28
SMAD2	0	1	0	0	31	10	0	0	0	42	28	28
ZNF283	0	0	0	0	41	1	0	0	0	42	28	28
ARHGAP25	1	0	0	0	36	4	0	0	0	41	28	28
CNGA1	1	2	0	0	33	3	1	1	0	41	28	28
CTDP1	0	1	0	0	38	1	0	1	0	41	28	28
FAM214A	4	0	0	0	32	5	0	0	0	41	28	28
FRMD4B	1	0	0	0	32	6	0	2	0	41	28	28
GGCX	1	0	0	0	36	3	0	1	0	41	28	28
IPO4	2	0	0	0	37	0	0	2	0	41	28	28
MACC1	1	1	0	0	31	8	0	0	0	41	28	28
MASP1	1	0	0	0	38	1	0	1	0	41	28	28
PDE4D	2	0	0	0	36	3	0	0	0	41	28	28
SLC7A2	1	0	0	0	39	0	0	1	0	41	28	28
VWA5A	1	0	0	0	36	2	0	2	0	41	28	28
ZBTB21	0	0	0	0	39	2	0	0	0	41	28	28
ZNF724P	3	0	0	0	33	5	0	0	0	41	28	28
BRD8	2	0	0	0	31	5	0	2	0	40	28	28
CCDC87	1	0	0	0	34	5	0	0	0	40	28	28
CFHR5	0	1	0	0	32	7	0	0	0	40	28	28
FOXP2	0	0	0	0	33	6	0	1	0	40	28	28
HIPK2	0	1	0	0	36	2	0	1	0	40	28	28
MTMR11	1	0	0	0	35	4	0	0	0	40	28	28
PCDHGA9	0	0	0	0	37	3	0	0	0	40	28	28
PLCZ1	2	2	0	0	33	2	0	1	0	40	28	28
PSD4	1	0	0	0	36	1	0	2	0	40	28	28
SIDT1	0	0	0	0	37	2	0	1	0	40	28	28
SLC5A12	0	0	0	0	36	2	0	2	0	40	28	28
TAX1BP1	0	0	0	0	33	5	0	2	0	40	28	28
TSPYL2	4	0	0	0	33	3	0	0	0	40	28	28
XPO5	0	0	0	0	34	5	0	1	0	40	28	28
ZNF281	2	0	0	0	37	1	0	0	0	40	28	28
ZNF728	0	1	0	0	38	1	0	0	0	40	28	28
ACAD10	2	0	0	0	31	5	0	0	1	39	28	28
ANKEF1	0	0	0	0	34	5	0	0	0	39	28	28
CYP27C1	0	0	0	0	38	1	0	0	0	39	28	28
ERMARD	2	0	0	0	31	5	0	1	0	39	28	28
FAM73A	1	0	0	0	35	3	0	0	0	39	28	28
GFPT2	0	0	0	0	35	4	0	0	0	39	28	28
GMPS	0	0	0	0	29	9	0	1	0	39	28	28
MAD1L1	0	0	0	0	38	1	0	0	0	39	28	28
MARK3	1	1	0	0	32	5	0	0	0	39	28	28
MED25	6	1	0	0	30	1	0	1	0	39	28	28
MFI2	2	0	0	0	36	0	0	1	0	39	28	28
NDNF	2	1	0	0	30	6	0	0	0	39	28	28
PLEKHM1	2	0	0	0	35	2	0	0	0	39	28	28
PLOD2	2	0	0	0	32	4	0	1	0	39	28	28
RSBN1	0	1	0	0	35	1	0	2	0	39	28	28
TBL1X	0	0	0	0	35	2	0	2	0	39	28	28
TGFBR3	0	0	0	0	37	2	0	0	0	39	28	28
TMEM67	1	0	0	0	28	9	0	1	0	39	28	28
UNC13D	0	1	0	0	35	2	0	1	0	39	28	28
ZC3H12C	0	1	0	0	35	3	0	0	0	39	28	28
ZFP82	0	1	0	0	32	5	0	1	0	39	28	28
ZNF286A	1	0	0	0	32	4	0	2	0	39	28	28
ZNF354A	2	0	0	0	32	5	0	0	0	39	28	28
ZNF680	0	0	0	0	36	3	0	0	0	39	28	28
ZSCAN30	0	2	0	0	33	4	0	0	0	39	28	28
AGMO	1	0	0	0	35	1	0	1	0	38	28	28
CYLC2	4	0	0	0	30	3	0	1	0	38	28	28
EMILIN2	2	0	0	0	31	4	0	1	0	38	28	28
FCHO1	0	0	0	0	36	1	0	1	0	38	28	28
GMIP	2	0	0	0	33	3	0	0	0	38	28	28
